Iteration,Timestep,StratumId,SecondaryStratumId,TertiaryStratumId,DistributionTypeId,ExternalVariableTypeId,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeId,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,,,,Aquaculture_expansion Distribution,,,,0.750781,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.770037,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.78018,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.800575,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.817168,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.872337,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.90501,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.913541,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.919221,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.923188,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.938267,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.984412,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.985285,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.995606,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,0.999772,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.021875,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.078837,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.110282,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.120319,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.1354,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.160309,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.186786,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.198405,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.207208,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.230059,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.241566,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.265801,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.289472,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.316434,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.366191,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.450625,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.499652,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.559588,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.578853,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.713027,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.752885,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.755087,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.801421,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,1.936994,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,2.011211,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,2.070165,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,2.289685,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,3.193172,,,,,,1
,,,,,Aquaculture_expansion Distribution,,,,4.779364,,,,,,1
,,,,,Inundation Distribution,,,,0,,,,,,4
,,,,,Inundation Distribution,,,,0.297713,,,,,,1
,,,,,Inundation Distribution,,,,0.318029,,,,,,1
,,,,,Inundation Distribution,,,,0.343382,,,,,,1
,,,,,Inundation Distribution,,,,0.356236,,,,,,1
,,,,,Inundation Distribution,,,,0.507675,,,,,,1
,,,,,Inundation Distribution,,,,0.51598,,,,,,1
,,,,,Inundation Distribution,,,,0.561598,,,,,,1
,,,,,Inundation Distribution,,,,0.572366,,,,,,1
,,,,,Inundation Distribution,,,,0.57456,,,,,,1
,,,,,Inundation Distribution,,,,0.578154,,,,,,1
,,,,,Inundation Distribution,,,,0.585738,,,,,,1
,,,,,Inundation Distribution,,,,0.591096,,,,,,1
,,,,,Inundation Distribution,,,,0.5984,,,,,,1
,,,,,Inundation Distribution,,,,0.618118,,,,,,1
,,,,,Inundation Distribution,,,,0.627842,,,,,,1
,,,,,Inundation Distribution,,,,0.7554,,,,,,1
,,,,,Inundation Distribution,,,,0.763272,,,,,,1
,,,,,Inundation Distribution,,,,0.796025,,,,,,1
,,,,,Inundation Distribution,,,,0.800359,,,,,,1
,,,,,Inundation Distribution,,,,0.810909,,,,,,1
,,,,,Inundation Distribution,,,,0.860921,,,,,,1
,,,,,Inundation Distribution,,,,0.869776,,,,,,1
,,,,,Inundation Distribution,,,,0.896888,,,,,,1
,,,,,Inundation Distribution,,,,0.901549,,,,,,1
,,,,,Inundation Distribution,,,,0.90639,,,,,,1
,,,,,Inundation Distribution,,,,0.942873,,,,,,1
,,,,,Inundation Distribution,,,,0.951087,,,,,,1
,,,,,Inundation Distribution,,,,0.977576,,,,,,1
,,,,,Inundation Distribution,,,,0.993305,,,,,,1
,,,,,Inundation Distribution,,,,1.048828,,,,,,1
,,,,,Inundation Distribution,,,,1.163415,,,,,,1
,,,,,Inundation Distribution,,,,1.244874,,,,,,1
,,,,,Inundation Distribution,,,,1.358409,,,,,,1
,,,,,Inundation Distribution,,,,1.365945,,,,,,1
,,,,,Inundation Distribution,,,,1.381238,,,,,,1
,,,,,Inundation Distribution,,,,1.618284,,,,,,1
,,,,,Inundation Distribution,,,,1.716847,,,,,,1
,,,,,Inundation Distribution,,,,1.732416,,,,,,1
,,,,,Inundation Distribution,,,,1.874278,,,,,,1
,,,,,Inundation Distribution,,,,1.948343,,,,,,1
,,,,,Inundation Distribution,,,,2.053549,,,,,,1
,,,,,Inundation Distribution,,,,2.122446,,,,,,1
,,,,,Inundation Distribution,,,,2.153185,,,,,,1
,,,,,Inundation Distribution,,,,2.154439,,,,,,1
,,,,,Inundation Distribution,,,,2.542014,,,,,,1
,,,,,Inundation Distribution,,,,2.648273,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0,,,,,,7
,,,,,Mangrove_recruitment Distribution,,,,0.06788,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.299803,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.352733,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.399878,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.441302,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.4671,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.518287,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.541637,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.545255,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.559186,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.560851,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.594041,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.598231,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.6321,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.635924,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.716041,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.738144,,,,,,1
,,,,,Mangrove_recruitment Distribution,,,,0.74106,,,,,,1
